"name","month","price","measure","category","inflation_dynamic","inflation"
"кефір 2.5%","2021-10-01",34.3895833333333,"Q1","молочна продукція та яйця",103.1,99.5
"масло вершкове 73%","2021-10-01",239.5,"Q1","молочна продукція та яйця",101.4,101.7
"масло вершкове 82%","2021-10-01",277,"Q1","молочна продукція та яйця",98.9,109.9
"маргарин","2021-10-01",83.6,"Q1","молочна продукція та яйця",100.48,98.6
"яйця","2021-10-01",36.0825,"Q1","молочна продукція та яйця",104.7,100.37
"філе куряче","2021-10-01",126.7375,"Q1","м’ясо",97.6,98.6
"свинина","2021-10-01",121.95,"Q1","м’ясо",102.7,103.4
"свинина ребра","2021-10-01",106.95,"Q1","м’ясо",88,82
"свинина гуляш","2021-10-01",109.95,"Q1","м’ясо",103.8,100
"субпродукти яловичні","2021-10-01",32.95,"Q1","м’ясо",91.7,95.6
"свинина фарш","2021-10-01",109.45,"Q1","м’ясо",104.3,101.4
"субпродукти свинячі","2021-10-01",37.91,"Q1","м’ясо",100.18,99.974
"яловичина","2021-10-01",217.95,"Q1","м’ясо",93.6,100
"яловичина фарш","2021-10-01",155.95,"Q1","м’ясо",97.1,94.1
"яловичина ребра","2021-10-01",136.95,"Q1","м’ясо",100,100
"вирізка свиняча","2021-10-01",172.95,"Q1","м’ясо",100.29,100.44
"сало","2021-10-01",165.841666666667,"Q1","м’ясо",143,152
"риба червона","2021-10-01",329,"Q1","риба та морепродукти",89,94
"риба річна","2021-10-01",109.9,"Q1","риба та морепродукти",159,91.7
"сосиски, сардельки вищого ґатунку","2021-10-01",174.042553191489,"Q1","ковбасні вироби",97.7,102.1
"сосиски, сардельки першого ґатунку","2021-10-01",104.54,"Q1","ковбасні вироби",90.9,102.1
"ковбаси сирокопчені в/ґ","2021-10-01",375.333333333333,"Q1","ковбасні вироби",95.2,99.06
"ковбаси варені вищого ґатунку","2021-10-01",165.1475,"Q1","ковбасні вироби",102.5,107.1
"ковбаси варено-копчені в/ґ","2021-10-01",230.071428571429,"Q1","ковбасні вироби",103.7,102.5
"ковбаси варені першого ґатунку","2021-10-01",106.83,"Q1","ковбасні вироби",100,100.2
