"","name","month","value","measure","mode","inflation","category"
"1884","кава мелена",2022-01-01,165.2,"min",0.25,0.19,"кава і чай"
"1885","чай у пакетиках",2022-01-01,30,"min",0.05,-91,"кава і чай"
"1886","солодка вода",2022-01-01,4.75,"min",0.5,NA,"безалкогольні напої"
"1887","горілка",2022-01-01,172.285714285714,"min",0.5,-3.6,"алкоголь"
"1888","сигарети з фільтром медіум класу",2022-01-01,53,"min",1,0,"сигарети"
"1889","сигарети з фільтром преміум класу",2022-01-01,62.5,"min",1,0,"сигарети"
"1890","батон",2022-01-01,50.5,"median",0.4,3.3,"хліб"
"1891","хліб цільнозерновий",2022-01-01,70.5568181818182,"median",0.3,-5.6,"хліб"
"1892","хліб житньо-пшеничний",2022-01-01,68,"median",0.4,-10,"хліб"
"1893","хліб пшеничний",2022-01-01,47.2333333333333,"median",0.6,2,"хліб"
"1894","торти",2022-01-01,262.655172413793,"median",0.85,13,"солодощі"
"1895","банани",2022-01-01,30.2,"median",1,1.7,"фрукти"
"1896","мандарини",2022-01-01,46.9,"median",1,5.4,"фрукти"
"1897","апельсини",2022-01-01,45.9,"median",1,-7.3,"фрукти"
"1898","ківі",2022-01-01,45.4,"median",1,-20,"фрукти"
"1899","лимони",2022-01-01,57.9,"median",1,-3.3,"фрукти"
"1900","яблука",2022-01-01,16.9,"median",1,-5.6,"фрукти"
"1901","виноград",2022-01-01,69.5,"median",1,0.94,"фрукти"
"1902","ягоди",2022-01-01,337.933333333333,"median",0.25,37,"фрукти"
"1903","кавуни",2022-01-01,10.2,"median",1,0,"фрукти"
"1904","цибуля ріпчаста",2022-01-01,27.9,"median",1,3.9,"овочі"
"1905","морква",2022-01-01,22.9,"median",1,17,"овочі"
"1906","картопля",2022-01-01,19.5,"median",1,-1.2,"овочі"
"1907","буряк",2022-01-01,33.8,"median",1,2.4,"овочі"
"1908","капуста білокачанна",2022-01-01,17.65,"median",1,37,"овочі"
"1909","кабачки",2022-01-01,60.5,"median",1,22,"овочі"
"1910","часник",2022-01-01,84.9,"median",1,0,"овочі"
"1911","помідори",2022-01-01,147.6,"median",0.25,-2.6,"овочі"
"1912","огірки",2022-01-01,99.7,"median",1,64,"овочі"
"1913","баклажани",2022-01-01,70.7,"median",1,42,"овочі"
"1914","перець солодкий",2022-01-01,82.9,"median",1,22,"овочі"
"1915","гриби",2022-01-01,87.0555555555556,"median",0.25,8.3,"овочі"
"1916","салати",2022-01-01,239.5,"median",1,-6.7,"овочі"
"1917","сухофрукти",2022-01-01,283.333333333333,"median",0.2,3.2,"сухофрукти"
"1918","цукати",2022-01-01,311.28,"median",0.15,0,"солодощі"
"1919","сири плавлені",2022-01-01,241.428571428571,"median",0.09,4.1,"молочна продукція та яйця"
"1920","сири розсольні",2022-01-01,254.5,"median",1,-1.8,"молочна продукція та яйця"
"1921","крем-сир",2022-01-01,301.230769230769,"median",0.125,1.9,"молочна продукція та яйця"
"1922","молоко пастеризоване жирністю до 2,6% включно",2022-01-01,36.2315789473684,"median",0.9,0,"молочна продукція та яйця"
"1923","молоко з підвищеним вмістом жиру",2022-01-01,38.8688888888889,"median",0.95,0.23,"молочна продукція та яйця"
"1924","сири м’які нежирні",2022-01-01,150,"median",0.2,0.13,"молочна продукція та яйця"
"1925","сири м’які жирні",2022-01-01,156,"median",0.2,0.65,"молочна продукція та яйця"
"1926","сирки та сиркова маса",2022-01-01,161.428571428571,"median",0.2,0,"молочна продукція та яйця"
"1927","сметана жирністю до 15% включно",2022-01-01,92.25,"median",0.35,1.1,"молочна продукція та яйця"
